"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"316",13,"New Orleans Saints",NO,"DST20","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"317",13,"Joe Mixon",FA,"RB95","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-5"
"318",13,"Chicago Bears",CHI,"DST21","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"319",13,"Jaleel McLaughlin",DEN,"RB96","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"320",13,"Darnell Washington",PIT,"TE39","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-91"
"321",13,"Jarquez Hunter",LAR,"RB97","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","+38"
"322",13,"Kareem Hunt",FA,"RB98","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","+69"
"323",13,"Luke McCaffrey",WAS,"WR112","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+10"
"324",13,"Cedric Tillman",CLE,"WR113","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"325",13,"Audric Estime",NO,"RB99","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"326",13,"J.J. McCarthy",MIN,"QB36","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-61"
"327",13,"Konata Mumpfield",LAR,"WR114","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+13"
"328",13,"Max Klare",LAR,"TE40","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-4"
"329",13,"Tez Johnson",TB,"WR115","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-51"
"330",13,"Will Shipley",PHI,"RB100","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-16"
"331",14,"Calvin Austin III",NYG,"WR116","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-27"
